#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#, ,#, , , ,#, ,#, , , , , ,#, ,#, , , , , , , ,#, ,#, ,#, , , ,#, , , ,#, , , ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#
#, ,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, , , , ,#, , , , , ,#, , , ,#, , , ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , , , , , , ,#, ,#, ,#, ,#
#, ,#, , , ,#, ,#, , , , , , , , , , , ,#, ,#, , , ,#, ,#, ,#, , , ,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, , , ,#, ,#
#, ,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, , , ,#, ,#, , , ,#, , , , , , ,#, , , , , ,#, , , , , ,#, , , ,#, , , , , ,#, , , , , , , ,#, , , ,#, ,#, , , ,#, ,#, ,#,#,#,#,#, ,#
#, , , , , ,#, ,#, , ,#, ,#, , , , ,#, ,#, ,#, , , , , ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , , ,#
#, ,#,#,#,#,#, ,#,#, , , , ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, , , ,#,#,#, ,#,#,#, , , , , , , ,#, , , ,#, ,#, , , , , ,#, , , , ,#, ,#, , , , , , , , , , , , , , , , , , , , , ,#, ,#,#,#, ,#
#, ,#, , , , , , ,#,#, ,#, ,#, ,#, , , , , ,#, , , ,#, , , , , ,#, ,#,#,#, , , ,#,#,#, , , ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#
#, ,#, ,#,#,#,#, ,#, , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, , , ,#,#,#, , , ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, , ,#, , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#
#, , , , , , ,#, , , ,#,#, , , ,#, ,#, , , ,#, , , ,#, , , ,#, ,#, ,#, ,#, ,#,#,#, , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#
#,#,#,#,#,#,#,#,#,#, , ,#, ,#, ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, , , , , , , ,#, ,#,#,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#
#, , , , , , , , ,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, , , ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#, ,#, ,#, ,#
#, ,#,#,#,#,#,#, ,#, , ,#, ,#, , , ,#, ,#, , , ,#, , , , , , , , , , , , , , , ,#, , , , , ,#, , , ,#, ,#, , , , , , , , , , , , , ,#, ,#, , , , , , , , , , , , , , , , , ,#, ,#, ,#, , , , ,#, ,#, ,#
#, ,#, , , , ,#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#
#, ,#, ,#,#, ,#, ,#, , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, ,#, , , , , ,#, ,#, , , , , , , , , , , , , ,#, ,#, , , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#, , , , ,#, ,#
#, ,#, , ,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#,#, ,#
#, ,#, ,#,#, ,#, , , , , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , , , , , , , , , ,#, , , , , , , , , , , , , , , ,#, , , , , , , , , , , , , , , ,#, , , , , ,#, , , , , , ,#
#, ,#, , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#
#, ,#, ,#,#, ,#, , , , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, ,#
#, ,#, , ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#
#, , , , , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , , , ,#, , 
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
